연도,1,2,3,4,5,6,7,8,9,10,11,12
2000,,-0.020150591609895963,0.09675058548009363,-0.03082877352195368,-0.021894794822363117,0.023933549204561366,-0.016361886429258843,0.060735253005311796,-0.053502009619819546,-0.004942568743473652,-0.08003358052329657,0.004030418250950518
2001,0.0346133454517914,-0.09231332357247435,-0.0641987257036859,0.07687666982676888,0.005042016806722671,-0.025003981525720587,-0.010780790591310097,-0.0640686922060767,-0.08177487649964699,0.018157363819771177,0.0752028684657482,0.007547169811320753
2002,-0.015590976395784217,-0.020792780038931147,0.036776000722869906,-0.061443263029457906,-0.009100195004178802,-0.07243932152563015,-0.07900585976965036,0.004936375603334708,-0.11003165593275854,0.08647123758125841,0.0570106118762701,-0.06034390686745705
2003,-0.027392589224823682,-0.017062054458338194,0.00844132683390808,0.08099504833765603,0.050932489911658996,0.011311747613117484,0.01621344279117487,0.017873371705543928,-0.011904761904761862,0.05491967871485959,0.007138098410583327,0.05074655074655077
2004,0.017267739904667456,0.012200512775174754,-0.016333304218709044,-0.016782099094299507,0.01210150817303357,0.01793521905951634,-0.03427419354838701,0.00226922029590626,0.009418583589929197,0.013996052395478298,0.038577242965846636,0.03245868120633855
2005,-0.025249608053469874,0.018877507830356244,-0.019109338650714514,-0.020159241063865796,0.02999654218533898,-0.00016785564414611986,0.03601108033241007,-0.01126235618214233,0.006965500286814752,-0.01774088541666663,0.035211267605633756,-0.0009603841536615088
2006,0.025474645517904237,0.0004687133817671274,0.011009604122745209,0.0122026567809701,-0.03090187700289948,7.873395795621185e-05,0.005117304361517805,0.021226599827680603,0.02454364166283174,0.03151669411588576,0.016474345017780445,0.012637441096672974
2007,0.014030882041881299,-0.021832846613822898,0.010022746659084536,0.043282426631008564,0.03251484079870459,-0.017836142689141465,-0.03192975454001201,0.012849584278155746,0.035820895522387985,0.014802200681163225,-0.04408157996643869,-0.00857470798730664
2008,-0.06122309997275954,-0.03474791439970992,-0.005937171200961822,0.04755424510470996,0.01068129330254064,-0.08597543558983156,-0.009843749999999929,0.012150860028404598,-0.09073900841908311,-0.16941015089163247,-0.07493806771263412,0.007810756527560914
2009,-0.08558458813108949,-0.10994067078338776,0.0854305536661677,0.09387141245770136,0.053047662694775566,0.00021760417800020804,0.07418688132274553,0.03351898734177228,0.03576327650401723,-0.019771071800207984,0.057324840764330975,0.017798466593647255
2010,-0.03694735898125712,0.028494273209795917,0.05875961973743782,0.014793911407559479,-0.08199207887418891,-0.05388287130530567,0.06878820219268444,-0.047476397966593975,0.08758219765557995,0.03689099193831047,-0.0023662638384179813,0.06531130876747127
2011,0.02266221374045796,0.03195707954280391,-0.0010548523206751481,0.028511087645195277,-0.013493693165150922,-0.018287243532560282,-0.021429653187944875,-0.05679795713069713,-0.07178603659036831,0.10774261976312527,-0.005026729434293387,0.008500400962309529
2012,0.04357506361323171,0.04061261810423655,0.0313392399502086,-0.007525736599218957,-0.06266542671149589,0.03960924979012437,0.012553222727940128,0.019792648444863392,0.024242855111616723,-0.019782050392170514,0.0028324599915026116,0.007061149555147583
2013,0.05041368671995494,0.011080702222815653,0.03598072225523197,0.018098394086158542,0.020718577866800203,-0.014962899368369476,0.049430367926290186,-0.03126297680488821,0.0296999387630128,0.04460303300624435,0.028067179049245716,0.02359065234245228
2014,-0.0355983553343433,0.04313923482553572,0.006883570852379561,0.006248998557923491,0.02101910828025466,0.019026824703680667,-0.0150494847464544,0.0376547366240223,-0.015523609863232535,0.02317091720326525,0.024578790882061385,-0.004207777132907653
2015,-0.031035990091796584,0.05488721804511276,-0.017391304347826098,0.008511049857343078,0.010501078877966918,-0.021021163519028274,0.019727594396781623,-0.06255347466489214,-0.026467903863705566,0.08302083333333332,0.0004809079542176242,-0.01754470294174193
2016,-0.05073633739419736,-0.004123286259148595,0.06598695787185571,0.00271884254988608,0.015348859729821251,0.0009060562708631537,0.03559007098956579,-0.001242178873757771,-0.001197659956699959,-0.019416132453996426,0.034145423760699956,0.018191740949608848
2017,0.017911381097016177,0.037167054280573986,-0.0003807750888475958,0.009099758750581888,0.011576210049492719,0.004809685711916423,0.01935297515886769,0.0005667327854914639,0.01929845855079515,0.02218782249742013,0.028074399099133895,0.00982021453391746
2018,0.05617893476959912,-0.03895460018414898,-0.026862701746628415,0.002726343292059452,0.0216003927344135,0.004842346505008699,0.036013831665685725,0.030252458899975077,0.004308116491470004,-0.06942347288949902,0.01788545930597052,-0.09180494167089326
2019,0.07870591989787767,0.029732628231204483,0.01792063207038974,0.0393028506915043,-0.06575463371579882,0.06892918135242199,0.013121218301719972,-0.01808482082941887,0.017153596446266794,0.02045889743675877,0.019423228864893227,
